,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
41,,,,0.0,0.0,,0,1,0,0,11,24,3,0,92.10526315789474,100.0,7.894736842105263,0.6966129200799125
42,"[('1', 0.5480928421020508)]",1,0.5480928421020508,1.0,4.0,,1,0,0,0,12,24,3,0,92.3076923076923,100.0,7.6923076923076925,0.686711581548055
43,,,,0.0,0.0,,0,1,0,0,12,25,3,0,92.5,100.0,7.5,0.686711581548055
44,,,,,,193.1519091129303,0,0,0,0,12,25,3,0,92.5,100.0,7.5,0.686711581548055
45,"[('1', 0.5296759605407715)]",1,0.5296759605407715,1.0,4.0,,1,0,0,0,13,25,3,0,92.6829268292683,100.0,7.317073170731708,0.6768968552350998
46,,,,0.0,0.0,,0,1,0,0,13,26,3,0,92.85714285714286,100.0,7.142857142857143,0.6768968552350998
47,"[('1', 1.096648931503296)]",1,1.096648931503296,1.0,4.0,,1,0,0,0,14,26,3,0,93.02325581395348,100.0,6.976744186046512,0.7015881538391113
48,,,,0.0,0.0,,0,1,0,0,14,27,3,0,93.18181818181819,100.0,6.818181818181818,0.7015881538391113
49,,,,0.0,0.0,,0,1,0,0,14,28,3,0,93.33333333333333,100.0,6.666666666666667,0.7015881538391113
50,,,,0.0,0.0,,0,1,0,0,14,29,3,0,93.47826086956522,100.0,6.521739130434782,0.7015881538391113
51,,,,0.0,0.0,,0,1,0,0,14,30,3,0,93.61702127659575,100.0,6.382978723404255,0.7015881538391113
52,,,,0.0,0.0,,0,1,0,0,14,31,3,0,93.75,100.0,6.25,0.7015881538391113
53,"[('1', 0.5006511211395264)]",1,0.5006511211395264,1.0,4.0,,1,0,0,0,15,31,3,0,93.87755102040816,100.0,6.122448979591836,0.6904249853558011
54,,,,0.0,0.0,,0,1,0,0,15,32,3,0,94.0,100.0,6.0,0.6904249853558011
55,,,,,,241.40070104599,0,0,0,0,15,32,3,0,94.0,100.0,6.0,0.6904249853558011
56,,,,0.0,0.0,,0,1,0,0,15,33,3,0,94.11764705882354,100.0,5.882352941176471,0.6904249853558011
57,,,,0.0,0.0,,0,1,0,0,15,34,3,0,94.23076923076923,100.0,5.769230769230769,0.6904249853558011
58,,,,0.0,0.0,,0,1,0,0,15,35,3,0,94.33962264150944,100.0,5.660377358490566,0.6904249853558011
59,,,,0.0,0.0,,0,1,0,0,15,36,3,0,94.44444444444444,100.0,5.555555555555555,0.6904249853558011
60,"[('1', 0.39868807792663574)]",1,0.39868807792663574,1.0,4.0,,1,0,0,0,16,36,3,0,94.54545454545455,100.0,5.454545454545454,0.6750704112805819
61,"[('1', 0.6294591426849365)]",1,0.6294591426849365,1.0,4.0,,1,0,0,0,17,36,3,0,94.64285714285714,100.0,5.357142857142857,0.6727898478507995
62,,,,0.0,0.0,,0,1,0,0,17,37,3,0,94.73684210526316,100.0,5.2631578947368425,0.6727898478507995
63,,,,0.0,0.0,,0,1,0,0,17,38,3,0,94.82758620689656,100.0,5.172413793103448,0.6727898478507995
64,,,,0.0,0.0,,0,1,0,0,17,39,3,0,94.91525423728814,100.0,5.084745762711864,0.6727898478507995
65,"[('1', 0.43108296394348145)]",1,0.43108296394348145,1.0,4.0,,1,0,0,0,18,39,3,0,95.0,100.0,5.0,0.6612799962361654
66,,,,,,291.68027210235596,0,0,0,0,18,39,3,0,95.0,100.0,5.0,0.6612799962361654
67,,,,0.0,0.0,,0,1,0,0,18,40,3,0,95.08196721311475,100.0,4.918032786885246,0.6612799962361654
68,,,,0.0,0.0,,0,1,0,0,18,41,3,0,95.16129032258064,100.0,4.838709677419355,0.6612799962361654
69,,,,0.0,0.0,,0,1,0,0,18,42,3,0,95.23809523809524,100.0,4.761904761904762,0.6612799962361654
70,,,,0.0,0.0,,0,1,0,0,18,43,3,0,95.3125,100.0,4.6875,0.6612799962361654
71,,,,0.0,0.0,,0,1,0,0,18,44,3,0,95.38461538461539,100.0,4.615384615384615,0.6612799962361654
72,"[('1', 0.41553783416748047)]",1,0.41553783416748047,1.0,4.0,,1,0,0,0,19,44,3,0,95.45454545454545,100.0,4.545454545454546,0.650109897960316
73,,,,0.0,0.0,,0,1,0,0,19,45,3,0,95.5223880597015,100.0,4.477611940298507,0.650109897960316
74,,,,0.0,0.0,,0,1,0,0,19,46,3,0,95.58823529411765,100.0,4.411764705882353,0.650109897960316
75,"[('1', 0.4458339214324951)]",1,0.4458339214324951,1.0,4.0,,1,0,0,0,20,46,3,0,95.65217391304348,100.0,4.3478260869565215,0.6412283337634542
76,"[('1', 0.6696951389312744)]",1,0.6696951389312744,1.0,4.0,,1,0,0,0,21,46,3,0,95.71428571428571,100.0,4.285714285714286,0.6424144506454468
77,,,,,,337.93598890304565,0,0,0,0,21,46,3,0,95.71428571428571,100.0,4.285714285714286,0.6424144506454468
78,"[('1', 0.627600908279419)]",1,0.627600908279419,0.0,0.0,,0,0,1,0,21,46,4,0,94.36619718309859,100.0,5.633802816901408,0.6418219089508057
79,"[('1', 0.5466349124908447)]",1,0.5466349124908447,1.0,4.0,,1,0,0,0,22,46,4,0,94.44444444444444,100.0,5.555555555555555,0.6381608706254226
80,,,,0.0,0.0,,0,1,0,0,22,47,4,0,94.52054794520548,100.0,5.47945205479452,0.6381608706254226
81,,,,0.0,0.0,,0,1,0,0,22,48,4,0,94.5945945945946,100.0,5.405405405405405,0.6381608706254226
82,"[('1', 0.31311488151550293)]",1,0.31311488151550293,1.0,4.0,,1,0,0,0,23,48,4,0,94.66666666666667,100.0,5.333333333333333,0.6261221302880181
83,,,,0.0,0.0,,0,1,0,0,23,49,4,0,94.73684210526316,100.0,5.2631578947368425,0.6261221302880181
84,,,,0.0,0.0,,0,1,0,0,23,50,4,0,94.8051948051948,100.0,5.194805194805195,0.6261221302880181
85,,,,0.0,0.0,,0,1,0,0,23,51,4,0,94.87179487179488,100.0,5.128205128205129,0.6261221302880181
86,,,,0.0,0.0,,0,1,0,0,23,52,4,0,94.9367088607595,100.0,5.063291139240507,0.6261221302880181
87,"[('1', 0.6625409126281738)]",1,0.6625409126281738,1.0,4.0,,1,0,0,0,24,52,4,0,95.0,100.0,5.0,0.6274228010858808
88,,,,,,386.17479395866394,0,0,0,0,24,52,4,0,95.0,100.0,5.0,0.6274228010858808
89,,,,0.0,0.0,,0,1,0,0,24,53,4,0,95.06172839506173,100.0,4.938271604938271,0.6274228010858808
90,,,,0.0,0.0,,0,1,0,0,24,54,4,0,95.1219512195122,100.0,4.878048780487805,0.6274228010858808
91,,,,0.0,0.0,,0,1,0,0,24,55,4,0,95.18072289156626,100.0,4.819277108433735,0.6274228010858808
92,"[('1', 0.5288259983062744)]",1,0.5288259983062744,1.0,4.0,,1,0,0,0,25,55,4,0,95.23809523809524,100.0,4.761904761904762,0.6240229113348599
93,,,,0.0,0.0,,0,1,0,0,25,56,4,0,95.29411764705883,100.0,4.705882352941177,0.6240229113348599
94,"[('1', 0.4811379909515381)]",1,0.4811379909515381,1.0,4.0,,1,0,0,0,26,56,4,0,95.34883720930233,100.0,4.651162790697675,0.6192600806554158
95,,,,0.0,0.0,,0,1,0,0,26,57,4,0,95.40229885057471,100.0,4.597701149425287,0.6192600806554158
96,,,,0.0,0.0,,0,1,0,0,26,58,4,0,95.45454545454545,100.0,4.545454545454546,0.6192600806554158
97,,,,0.0,0.0,,0,1,0,0,26,59,4,0,95.50561797752809,100.0,4.49438202247191,0.6192600806554158
98,"[('1', 0.5999648571014404)]",1,0.5999648571014404,1.0,4.0,,1,0,0,0,27,59,4,0,95.55555555555556,100.0,4.444444444444445,0.6186376540891586
99,,,,,,471.43116998672485,0,0,0,0,27,59,4,0,95.55555555555556,100.0,4.444444444444445,0.6186376540891586
100,"[('1', 0.46358180046081543)]",1,0.46358180046081543,1.0,4.0,,1,0,0,0,28,59,4,0,95.6043956043956,100.0,4.395604395604396,0.6137921586632729
101,,,,0.0,0.0,,0,1,0,0,28,60,4,0,95.65217391304348,100.0,4.3478260869565215,0.6137921586632729
102,,,,0.0,0.0,,0,1,0,0,28,61,4,0,95.6989247311828,100.0,4.301075268817204,0.6137921586632729
103,"[('1', 0.29639101028442383)]",1,0.29639101028442383,0.0,0.0,,0,0,1,0,28,61,5,0,94.68085106382979,100.0,5.319148936170213,0.6041739420457319
104,"[('1', 0.2983520030975342)]",1,0.2983520030975342,1.0,4.0,,1,0,0,0,29,61,5,0,94.73684210526316,100.0,5.2631578947368425,0.5951791791354909
105,,,,0.0,0.0,,0,1,0,0,29,62,5,0,94.79166666666667,100.0,5.208333333333333,0.5951791791354909
106,"[('1', 0.4793260097503662)]",1,0.4793260097503662,1.0,4.0,,1,0,0,0,30,62,5,0,94.84536082474227,100.0,5.154639175257732,0.5918690885816301
107,,,,0.0,0.0,,0,1,0,0,30,63,5,0,94.89795918367346,100.0,5.1020408163265305,0.5918690885816301
108,,,,0.0,0.0,,0,1,0,0,30,64,5,0,94.94949494949495,100.0,5.05050505050505,0.5918690885816301
109,,,,0.0,0.0,,0,1,0,0,30,65,5,0,95.0,100.0,5.0,0.5918690885816301
110,,,,,,517.709254026413,0,0,0,0,30,65,5,0,95.0,100.0,5.0,0.5918690885816301
111,,,,0.0,0.0,,0,1,0,0,30,66,5,0,95.04950495049505,100.0,4.9504950495049505,0.5918690885816301
112,"[('1', 0.4794290065765381)]",1,0.4794290065765381,1.0,4.0,,1,0,0,0,31,66,5,0,95.09803921568627,100.0,4.901960784313726,0.5887457529703776
113,,,,0.0,0.0,,0,1,0,0,31,67,5,0,95.14563106796116,100.0,4.854368932038835,0.5887457529703776
114,,,,0.0,0.0,,0,1,0,0,31,68,5,0,95.1923076923077,100.0,4.8076923076923075,0.5887457529703776
115,"[('1', 0.4947957992553711)]",1,0.4947957992553711,1.0,4.0,,1,0,0,0,32,68,5,0,95.23809523809524,100.0,4.761904761904762,0.5862065650321342
116,,,,0.0,0.0,,0,1,0,0,32,69,5,0,95.28301886792453,100.0,4.716981132075472,0.5862065650321342
117,,,,0.0,0.0,,0,1,0,0,32,70,5,0,95.32710280373831,100.0,4.672897196261682,0.5862065650321342
118,,,,0.0,0.0,,0,1,0,0,32,71,5,0,95.37037037037037,100.0,4.62962962962963,0.5862065650321342
119,"[('1', 0.3121349811553955)]",1,0.3121349811553955,1.0,4.0,,1,0,0,0,33,71,5,0,95.41284403669725,100.0,4.587155963302752,0.5789941549301147
120,,,,0.0,0.0,,0,1,0,0,33,72,5,0,95.45454545454545,100.0,4.545454545454546,0.5789941549301147
121,,,,,,565.899255990982,0,0,0,0,33,72,5,0,95.45454545454545,100.0,4.545454545454546,0.5789941549301147
122,,,,0.0,0.0,,0,1,0,0,33,73,5,0,95.49549549549549,100.0,4.504504504504505,0.5789941549301147
123,,,,0.0,0.0,,0,1,0,0,33,74,5,0,95.53571428571429,100.0,4.464285714285714,0.5789941549301147
124,"[('1', 0.5822751522064209)]",1,0.5822751522064209,1.0,4.0,,1,0,0,0,34,74,5,0,95.57522123893806,100.0,4.424778761061947,0.5790782830654047
125,"[('1', 0.461529016494751)]",1,0.461529016494751,1.0,4.0,,1,0,0,0,35,74,5,0,95.6140350877193,100.0,4.385964912280702,0.5761395514011383
126,,,,0.0,0.0,,0,1,0,0,35,75,5,0,95.65217391304348,100.0,4.3478260869565215,0.5761395514011383
127,,,,0.0,0.0,,0,1,0,0,35,76,5,0,95.6896551724138,100.0,4.310344827586207,0.5761395514011383
128,"[('1', 0.5450749397277832)]",1,0.5450749397277832,1.0,4.0,,1,0,0,0,36,76,5,0,95.72649572649573,100.0,4.273504273504273,0.5753818779456906
129,,,,0.0,0.0,,0,1,0,0,36,77,5,0,95.76271186440678,100.0,4.237288135593221,0.5753818779456906
130,,,,0.0,0.0,,0,1,0,0,36,78,5,0,95.7983193277311,100.0,4.201680672268908,0.5753818779456906
131,,,,0.0,0.0,,0,1,0,0,36,79,5,0,95.83333333333333,100.0,4.166666666666667,0.5753818779456906
132,,,,,,616.205638885498,0,0,0,0,36,79,5,0,95.83333333333333,100.0,4.166666666666667,0.5753818779456906
133,,,,0.0,0.0,,0,1,0,0,36,80,5,0,95.86776859504133,100.0,4.132231404958677,0.5753818779456906
134,"[('1', 0.47861409187316895)]",1,0.47861409187316895,1.0,4.0,,1,0,0,0,37,80,5,0,95.90163934426229,100.0,4.098360655737705,0.573077883039202
135,,,,0.0,0.0,,0,1,0,0,37,81,5,0,95.9349593495935,100.0,4.065040650406504,0.573077883039202
136,,,,0.0,0.0,,0,1,0,0,37,82,5,0,95.96774193548387,100.0,4.032258064516129,0.573077883039202
137,,,,0.0,0.0,,0,1,0,0,37,83,5,0,96.0,100.0,4.0,0.573077883039202
138,,,,0.0,0.0,,0,1,0,0,37,84,5,0,96.03174603174604,100.0,3.9682539682539684,0.573077883039202
139,,,,1.0,4.0,,0,0,0,1,37,84,5,1,95.2755905511811,97.36842105263158,3.937007874015748,0.573077883039202
140,,,,0.0,0.0,,0,1,0,0,37,85,5,1,95.3125,97.36842105263158,3.90625,0.573077883039202
141,,,,0.0,0.0,,0,1,0,0,37,86,5,1,95.34883720930233,97.36842105263158,3.875968992248062,0.573077883039202
142,"[('1', 0.3297879695892334)]",1,0.3297879695892334,1.0,4.0,,1,0,0,0,38,86,5,1,95.38461538461539,97.43589743589743,3.8461538461538463,0.5674199780752492
143,,,,,,664.4367780685425,0,0,0,0,38,86,5,1,95.38461538461539,97.43589743589743,3.8461538461538463,0.5674199780752492
144,,,,0.0,0.0,,0,1,0,0,38,87,5,1,95.41984732824427,97.43589743589743,3.816793893129771,0.5674199780752492
145,"[('1', 0.5621771812438965)]",1,0.5621771812438965,1.0,4.0,,1,0,0,0,39,87,5,1,95.45454545454545,97.5,3.787878787878788,0.5673008236018094
146,,,,0.0,0.0,,0,1,0,0,39,88,5,1,95.48872180451127,97.5,3.7593984962406015,0.5673008236018094
147,,,,0.0,0.0,,0,1,0,0,39,89,5,1,95.5223880597015,97.5,3.7313432835820897,0.5673008236018094
148,,,,0.0,0.0,,0,1,0,0,39,90,5,1,95.55555555555556,97.5,3.7037037037037037,0.5673008236018094
149,,,,0.0,0.0,,0,1,0,0,39,91,5,1,95.58823529411765,97.5,3.676470588235294,0.5673008236018094
150,,,,0.0,0.0,,0,1,0,0,39,92,5,1,95.62043795620438,97.5,3.6496350364963503,0.5673008236018094
151,"[('1', 0.777838945388794)]",1,0.777838945388794,1.0,4.0,,1,0,0,0,40,92,5,1,95.65217391304348,97.5609756097561,3.6231884057971016,0.571979448530409
152,,,,0.0,0.0,,0,1,0,0,40,93,5,1,95.68345323741008,97.5609756097561,3.597122302158273,0.571979448530409
153,"[('1', 0.49620890617370605)]",1,0.49620890617370605,1.0,4.0,,1,0,0,0,41,93,5,1,95.71428571428571,97.61904761904762,3.5714285714285716,0.5703322628270024
154,,,,,,712.7180309295654,0,0,0,0,41,93,5,1,95.71428571428571,97.61904761904762,3.5714285714285716,0.5703322628270024
155,,,,0.0,0.0,,0,1,0,0,41,94,5,1,95.74468085106383,97.61904761904762,3.5460992907801416,0.5703322628270024
156,,,,0.0,0.0,,0,1,0,0,41,95,5,1,95.77464788732394,97.61904761904762,3.5211267605633805,0.5703322628270024
157,"[('1', 0.4588439464569092)]",1,0.4588439464569092,1.0,4.0,,1,0,0,0,42,95,5,1,95.8041958041958,97.67441860465117,3.4965034965034967,0.5679601709893409
158,,,,0.0,0.0,,0,1,0,0,42,96,5,1,95.83333333333333,97.67441860465117,3.4722222222222223,0.5679601709893409
159,,,,0.0,0.0,,0,1,0,0,42,97,5,1,95.86206896551724,97.67441860465117,3.4482758620689653,0.5679601709893409
160,,,,0.0,0.0,,0,1,0,0,42,98,5,1,95.89041095890411,97.67441860465117,3.4246575342465753,0.5679601709893409
161,"[('1', 0.46570301055908203)]",1,0.46570301055908203,1.0,4.0,,1,0,0,0,43,98,5,1,95.91836734693878,97.72727272727273,3.401360544217687,0.5658298134803772
162,"[('1', 0.4776320457458496)]",1,0.4776320457458496,1.0,4.0,,1,0,0,0,44,98,5,1,95.94594594594595,97.77777777777777,3.3783783783783785,0.5640298590368155
163,,,,0.0,0.0,,0,1,0,0,44,99,5,1,95.97315436241611,97.77777777777777,3.3557046979865772,0.5640298590368155
164,,,,0.0,0.0,,0,1,0,0,44,100,5,1,96.0,97.77777777777777,3.3333333333333335,0.5640298590368155
165,,,,,,762.9573509693146,0,0,0,0,44,100,5,1,96.0,97.77777777777777,3.3333333333333335,0.5640298590368155
166,,,,0.0,0.0,,0,1,0,0,44,101,5,1,96.02649006622516,97.77777777777777,3.3112582781456954,0.5640298590368155
167,,,,0.0,0.0,,0,1,0,0,44,102,5,1,96.05263157894737,97.77777777777777,3.289473684210526,0.5640298590368155
168,,,,0.0,0.0,,0,1,0,0,44,103,5,1,96.07843137254902,97.77777777777777,3.2679738562091503,0.5640298590368155
169,"[('1', 1.0951359272003174)]",1,1.0951359272003174,1.0,4.0,,1,0,0,0,45,103,5,1,96.1038961038961,97.82608695652173,3.2467532467532467,0.5746519804000855
170,,,,1.0,4.0,,0,0,0,1,45,103,5,2,95.48387096774194,95.74468085106383,3.225806451612903,0.5746519804000855
171,,,,0.0,0.0,,0,1,0,0,45,104,5,2,95.51282051282051,95.74468085106383,3.2051282051282053,0.5746519804000855
172,,,,0.0,0.0,,0,1,0,0,45,105,5,2,95.54140127388536,95.74468085106383,3.1847133757961785,0.5746519804000855
173,"[('1', 0.37766098976135254)]",1,0.37766098976135254,0.0,0.0,,0,0,1,0,45,105,6,2,94.9367088607595,95.74468085106383,3.7974683544303796,0.5707894119561887
174,,,,1.0,4.0,,0,0,0,1,45,105,6,3,94.33962264150944,93.75,3.7735849056603774,0.5707894119561887
175,,,,0.0,0.0,,0,1,0,0,45,106,6,3,94.375,93.75,3.75,0.5707894119561887
176,,,,,,809.1962580680847,0,0,0,0,45,106,6,3,94.375,93.75,3.75,0.5707894119561887
177,,,,0.0,0.0,,0,1,0,0,45,107,6,3,94.40993788819875,93.75,3.7267080745341614,0.5707894119561887
178,,,,0.0,0.0,,0,1,0,0,45,108,6,3,94.44444444444444,93.75,3.7037037037037037,0.5707894119561887
179,"[('1', 0.5775740146636963)]",1,0.5775740146636963,1.0,4.0,,1,0,0,0,46,108,6,3,94.47852760736197,93.87755102040816,3.6809815950920246,0.5709198850851792
180,,,,0.0,0.0,,0,1,0,0,46,109,6,3,94.51219512195122,93.87755102040816,3.658536585365854,0.5709198850851792
181,,,,0.0,0.0,,0,1,0,0,46,110,6,3,94.54545454545455,93.87755102040816,3.6363636363636362,0.5709198850851792
182,,,,0.0,0.0,,0,1,0,0,46,111,6,3,94.57831325301204,93.87755102040816,3.6144578313253013,0.5709198850851792
183,,,,0.0,0.0,,0,1,0,0,46,112,6,3,94.61077844311377,93.87755102040816,3.592814371257485,0.5709198850851792
184,"[('1', 0.6450130939483643)]",1,0.6450130939483643,1.0,4.0,,1,0,0,0,47,112,6,3,94.64285714285714,94.0,3.5714285714285716,0.5723178701580696
185,"[('1', 0.6276490688323975)]",1,0.6276490688323975,1.0,4.0,,1,0,0,0,48,112,6,3,94.67455621301775,94.11764705882354,3.5502958579881656,0.573342521985372
186,,,,0.0,0.0,,0,1,0,0,48,113,6,3,94.70588235294117,94.11764705882354,3.5294117647058822,0.573342521985372
187,,,,,,857.4696710109711,0,0,0,0,48,113,6,3,94.70588235294117,94.11764705882354,3.5294117647058822,0.573342521985372
188,,,,0.0,0.0,,0,1,0,0,48,114,6,3,94.73684210526316,94.11764705882354,3.508771929824561,0.573342521985372
189,,,,0.0,0.0,,0,1,0,0,48,115,6,3,94.76744186046511,94.11764705882354,3.488372093023256,0.573342521985372
190,"[('1', 0.560791015625)]",1,0.560791015625,1.0,4.0,,1,0,0,0,49,115,6,3,94.79768786127168,94.23076923076923,3.468208092485549,0.5731143127788197
191,,,,0.0,0.0,,0,1,0,0,49,116,6,3,94.82758620689656,94.23076923076923,3.4482758620689653,0.5731143127788197
192,,,,0.0,0.0,,0,1,0,0,49,117,6,3,94.85714285714286,94.23076923076923,3.4285714285714284,0.5731143127788197
193,"[('1', 0.47784900665283203)]",1,0.47784900665283203,1.0,4.0,,1,0,0,0,50,117,6,3,94.88636363636364,94.33962264150944,3.409090909090909,0.5714131465979985
194,,,,0.0,0.0,,0,1,0,0,50,118,6,3,94.91525423728814,94.33962264150944,3.389830508474576,0.5714131465979985
195,,,,0.0,0.0,,0,1,0,0,50,119,6,3,94.9438202247191,94.33962264150944,3.3707865168539324,0.5714131465979985
196,"[('1', 0.511228084564209)]",1,0.511228084564209,1.0,4.0,,1,0,0,0,51,119,6,3,94.97206703910615,94.44444444444444,3.35195530726257,0.570357268316704
197,,,,0.0,0.0,,0,1,0,0,51,120,6,3,95.0,94.44444444444444,3.3333333333333335,0.570357268316704
