A_or_B,trial,block_num,trial_type,corr_resp,corr_resp_left,image_name,trial_dur,new_block
null,280,4,fix,1,4,stimuli/fix.jpg,2.5,0
null,281,4,1,0,0,stimuli/3.jpg,0.5,0
null,282,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,283,4,1,0,0,stimuli/6.jpg,0.5,0
null,284,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,285,4,1,1,4,stimuli/6.jpg,0.5,0
null,286,4,fix,1,4,stimuli/fix.jpg,17,0
null,287,5,0,nan,nan,stimuli/0back_instr.jpg,3,1
null,288,5,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,289,5,0,0,0,stimuli/6_lower.jpg,0.5,0
null,290,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,291,5,0,1,4,stimuli/8_lower.jpg,0.5,0
null,292,5,fix,1,4,stimuli/fix.jpg,2.5,0
null,293,5,0,0,0,stimuli/4_lower.jpg,0.5,0
null,294,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,295,5,0,0,0,stimuli/7_lower.jpg,0.5,0
null,296,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,297,5,0,0,0,stimuli/5_lower.jpg,0.5,0
null,298,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,299,5,0,0,0,stimuli/2_lower.jpg,0.5,0
null,300,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,301,5,0,0,0,stimuli/3_lower.jpg,0.5,0
null,302,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,303,5,0,1,4,stimuli/8_lower.jpg,0.5,0
null,304,5,fix,1,4,stimuli/fix.jpg,2.5,0
null,305,5,0,0,0,stimuli/1_lower.jpg,0.5,0
null,306,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,307,5,0,1,4,stimuli/8_lower.jpg,0.5,0
null,308,5,fix,1,4,stimuli/fix.jpg,17,0
null,309,6,2,nan,nan,stimuli/2back_instr.jpg,3,1
null,310,6,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,311,6,2,0,0,stimuli/1.jpg,0.5,0
null,312,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,313,6,2,0,0,stimuli/2.jpg,0.5,0
null,314,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,315,6,2,1,4,stimuli/1.jpg,0.5,0
null,316,6,fix,1,4,stimuli/fix.jpg,2.5,0
null,317,6,2,0,0,stimuli/6.jpg,0.5,0
null,318,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,319,6,2,0,0,stimuli/5.jpg,0.5,0
null,320,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,321,6,2,0,0,stimuli/3.jpg,0.5,0
null,322,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,323,6,2,1,4,stimuli/5.jpg,0.5,0
null,324,6,fix,1,4,stimuli/fix.jpg,2.5,0
null,325,6,2,1,4,stimuli/3.jpg,0.5,0
null,326,6,fix,1,4,stimuli/fix.jpg,2.5,0
null,327,6,2,0,0,stimuli/7.jpg,0.5,0
null,328,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,329,6,2,0,0,stimuli/4.jpg,0.5,0
null,330,6,fix,0,0,stimuli/fix.jpg,19,0
null,331,7,2,nan,nan,stimuli/2back_instr.jpg,3,1
null,332,7,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,333,7,2,0,0,stimuli/1_lower.jpg,0.5,0
null,334,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,335,7,2,0,0,stimuli/5_lower.jpg,0.5,0
null,336,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,337,7,2,0,0,stimuli/3_lower.jpg,0.5,0
null,338,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,339,7,2,1,4,stimuli/5_lower.jpg,0.5,0
null,340,7,fix,1,4,stimuli/fix.jpg,2.5,0
null,341,7,2,1,4,stimuli/3_lower.jpg,0.5,0
null,342,7,fix,1,4,stimuli/fix.jpg,2.5,0
null,343,7,2,0,0,stimuli/8_lower.jpg,0.5,0
null,344,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,345,7,2,0,0,stimuli/4_lower.jpg,0.5,0
null,346,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,347,7,2,0,0,stimuli/3_lower.jpg,0.5,0
null,348,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,349,7,2,1,4,stimuli/4_lower.jpg,0.5,0
null,350,7,fix,1,4,stimuli/fix.jpg,2.5,0
null,351,7,2,0,0,stimuli/6_lower.jpg,0.5,0
null,352,7,fix,0,0,stimuli/fix.jpg,15,0
null,353,8,1,nan,nan,stimuli/1back_instr.jpg,3,1
null,354,8,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,355,8,1,0,0,stimuli/3.jpg,0.5,0
null,356,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,357,8,1,0,0,stimuli/1.jpg,0.5,0
null,358,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,359,8,1,1,4,stimuli/1.jpg,0.5,0
null,360,8,fix,1,4,stimuli/fix.jpg,2.5,0
null,361,8,1,0,0,stimuli/8.jpg,0.5,0
null,362,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,363,8,1,0,0,stimuli/6.jpg,0.5,0
null,364,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,365,8,1,0,0,stimuli/3.jpg,0.5,0
null,366,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,367,8,1,0,0,stimuli/2.jpg,0.5,0
null,368,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,369,8,1,1,4,stimuli/2.jpg,0.5,0
null,370,8,fix,1,4,stimuli/fix.jpg,2.5,0
null,371,8,1,1,4,stimuli/2.jpg,0.5,0
null,372,8,fix,1,4,stimuli/fix.jpg,2.5,0
null,373,8,1,0,0,stimuli/6.jpg,0.5,0
null,374,8,fix,0,0,stimuli/fix.jpg,17,0
null,375,9,0,nan,nan,stimuli/0back_instr.jpg,3,1
null,376,9,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,377,9,0,0,0,stimuli/2.jpg,0.5,0
null,378,9,fix,0,0,stimuli/fix.jpg,2.5,0
null,379,9,0,0,0,stimuli/3.jpg,0.5,0
null,380,9,fix,0,0,stimuli/fix.jpg,2.5,0
null,381,9,0,1,4,stimuli/8.jpg,0.5,0
null,382,9,fix,1,4,stimuli/fix.jpg,2.5,0
null,383,9,0,0,0,stimuli/5.jpg,0.5,0
null,384,9,fix,0,0,stimuli/fix.jpg,2.5,0
null,385,9,0,0,0,stimuli/1.jpg,0.5,0
null,386,9,fix,0,0,stimuli/fix.jpg,2.5,0
null,387,9,0,1,4,stimuli/8.jpg,0.5,0
null,388,9,fix,1,4,stimuli/fix.jpg,2.5,0
null,389,9,0,0,0,stimuli/6.jpg,0.5,0
null,390,9,fix,0,0,stimuli/fix.jpg,2.5,0
null,391,9,0,0,0,stimuli/4.jpg,0.5,0
null,392,9,fix,0,0,stimuli/fix.jpg,2.5,0
null,393,9,0,1,4,stimuli/8.jpg,0.5,0
null,394,9,fix,1,4,stimuli/fix.jpg,2.5,0
null,395,9,0,0,0,stimuli/7.jpg,0.5,0
null,396,9,fix,0,0,stimuli/fix.jpg,5,0
